Category,Price,Rating,Discount,Stock,In_Stock
ELECTRONICS,5207.89,2.99,13.79,Out of Stock,0
FURNITURE,6027.74,2.08,9.2,Out of Stock,0
FOOD,723.45,4.62,17.49,In Stock,1
ELECTRONICS,597.67,3.73,19.23,In Stock,1
FURNITURE,8594.18,1.66,10.53,Out of Stock,0
ELECTRONICS,7782.32,2.43,18.23,In Stock,1
CLOTHING,552.34,2.95,7.56,In Stock,1
ELECTRONICS,8832.64,3.81,6.63,In Stock,1
ELECTRONICS,11107.95,2.39,11.34,Out of Stock,0
FOOD,390.64,3.82,28.04,In Stock,1
CLOTHING,1127.2,2.36,31.3,In Stock,1
ELECTRONICS,9846.61,2.51,1.24,Out of Stock,0
CLOTHING,1348.26,3.52,12.29,In Stock,1
CLOTHING,2145.26,4.99,25.33,In Stock,1
FOOD,316.05,3.8,3.45,In Stock,1
FOOD,712.46,3.83,11.62,In Stock,1
FURNITURE,10916.28,2.55,9.72,Out of Stock,0
CLOTHING,653.62,4.44,47.32,In Stock,1
ELECTRONICS,8243.83,4.82,3.03,In Stock,1
FOOD,408.06,4.2,17.45,In Stock,1
FURNITURE,7817.54,2.18,1.9,Out of Stock,0
FOOD,343.81,3.33,22.03,In Stock,1
FURNITURE,5505.97,1.2,8.29,Out of Stock,0
CLOTHING,1988.07,4.62,30.96,Out of Stock,0
FOOD,419.74,4.61,16.21,In Stock,1
CLOTHING,698.2,3.7,45.86,In Stock,1
ELECTRONICS,6981.56,2.19,2.87,Out of Stock,0
ELECTRONICS,5757.23,2.73,11.91,Out of Stock,0
ELECTRONICS,5403.08,4.76,12.23,In Stock,1
FOOD,489.97,4.66,2.41,In Stock,1
CLOTHING,1692.1,3.89,42.29,In Stock,1
FOOD,637.6,3.55,28.23,In Stock,1
FURNITURE,4492.15,4.06,14.56,Out of Stock,0
ELECTRONICS,5885.77,3.89,0.81,In Stock,1
CLOTHING,1513.56,3.55,31.13,In Stock,1
FURNITURE,14231.25,3.35,7.22,Out of Stock,0
ELECTRONICS,9048.38,4.8,0.44,In Stock,1
ELECTRONICS,9912.61,1.34,16.29,In Stock,1
CLOTHING,1200.84,2.4,24.79,In Stock,1
ELECTRONICS,8219.78,2.52,1.09,Out of Stock,0
FURNITURE,10193.53,4.16,5.75,Out of Stock,0
FURNITURE,5595.99,2.55,0.73,Out of Stock,0
FOOD,665.37,4.65,17.64,In Stock,1
FURNITURE,7237.23,3.8,8.32,Out of Stock,0
FURNITURE,12911.19,3.21,11.77,Out of Stock,0
ELECTRONICS,7992.81,2.66,19.16,In Stock,1
FURNITURE,9493.37,3.12,3.31,Out of Stock,0
FOOD,519.24,4.14,5.55,In Stock,1
FURNITURE,3715.05,3.12,11.46,Out of Stock,0
FURNITURE,9280.82,1.79,10.0,Out of Stock,0
CLOTHING,700.26,3.33,12.23,In Stock,1
ELECTRONICS,5922.3,1.81,7.73,Out of Stock,0
ELECTRONICS,5255.75,2.59,10.23,Out of Stock,0
CLOTHING,1708.24,3.15,42.76,In Stock,1
FURNITURE,4743.92,2.75,0.93,Out of Stock,0
FURNITURE,3853.87,3.01,8.49,In Stock,1
ELECTRONICS,9390.17,3.23,19.2,Out of Stock,0
FOOD,86.52,3.2,1.32,In Stock,1
CLOTHING,963.19,3.62,34.05,In Stock,1
ELECTRONICS,5227.93,4.78,16.84,Out of Stock,0
ELECTRONICS,6483.06,1.31,3.4,Out of Stock,0
CLOTHING,817.36,2.37,28.34,In Stock,1
FURNITURE,5950.17,2.25,14.84,Out of Stock,0
CLOTHING,2210.79,4.85,11.42,In Stock,1
FOOD,336.6,4.11,2.3,In Stock,1
FOOD,53.14,4.34,19.25,In Stock,1
CLOTHING,1526.97,3.47,23.69,Out of Stock,0
FURNITURE,3288.06,2.17,2.66,In Stock,1
FURNITURE,4181.09,4.35,8.99,Out of Stock,0
CLOTHING,2321.64,2.95,22.69,In Stock,1
CLOTHING,1092.31,2.29,13.06,Out of Stock,0
CLOTHING,2493.79,4.03,29.61,Out of Stock,0
ELECTRONICS,1687.72,4.77,8.27,In Stock,1
ELECTRONICS,6403.0,2.4,15.65,In Stock,1
FOOD,794.39,3.48,26.23,In Stock,1
FOOD,672.97,3.45,11.98,In Stock,1
ELECTRONICS,7048.36,4.91,3.62,In Stock,1
CLOTHING,2497.89,3.0,12.23,In Stock,1
FURNITURE,8040.13,3.02,12.49,Out of Stock,0
ELECTRONICS,9020.83,4.47,1.19,Out of Stock,0
ELECTRONICS,8460.25,1.56,8.32,Out of Stock,0
CLOTHING,1871.47,3.21,28.38,In Stock,1
FURNITURE,14958.32,1.47,10.13,Out of Stock,0
ELECTRONICS,6980.0,1.53,3.17,Out of Stock,0
FOOD,761.95,4.76,27.21,In Stock,1
FURNITURE,14898.39,1.73,5.33,Out of Stock,0
ELECTRONICS,8346.1,2.94,8.37,Out of Stock,0
FOOD,318.36,4.19,17.27,In Stock,1
CLOTHING,903.64,3.42,29.91,In Stock,1
FOOD,477.72,3.42,22.27,In Stock,1
FOOD,68.9,3.71,23.41,In Stock,1
FOOD,472.92,3.96,20.85,In Stock,1
ELECTRONICS,7836.95,4.18,14.7,In Stock,1
ELECTRONICS,10321.3,2.71,2.0,Out of Stock,0
CLOTHING,1153.33,3.26,31.97,In Stock,1
ELECTRONICS,7568.54,2.15,0.13,Out of Stock,0
ELECTRONICS,7481.2,2.14,14.69,Out of Stock,0
FOOD,67.96,4.17,28.24,In Stock,1
ELECTRONICS,180.81,3.94,2.74,In Stock,1
ELECTRONICS,8128.41,3.2,8.15,Out of Stock,0
FOOD,441.03,4.79,5.89,In Stock,1
ELECTRONICS,5112.82,4.45,11.54,Out of Stock,0
FOOD,717.99,4.19,24.3,Out of Stock,0
ELECTRONICS,7148.37,4.0,18.26,In Stock,1
FOOD,479.09,3.36,8.06,In Stock,1
CLOTHING,996.61,2.74,18.79,In Stock,1
FURNITURE,9661.61,3.06,6.4,Out of Stock,0
ELECTRONICS,8077.1,1.33,1.76,Out of Stock,0
ELECTRONICS,929.57,3.55,14.63,In Stock,1
ELECTRONICS,6416.42,2.6,16.24,Out of Stock,0
FURNITURE,3166.35,3.27,10.03,In Stock,1
ELECTRONICS,12583.87,3.03,0.3,Out of Stock,0
CLOTHING,884.46,4.66,25.63,In Stock,1
FOOD,473.44,4.33,20.37,In Stock,1
FURNITURE,14180.88,4.49,10.8,Out of Stock,0
FOOD,265.42,4.76,1.48,In Stock,1
FOOD,223.31,4.79,7.69,In Stock,1
ELECTRONICS,6103.26,1.55,17.18,Out of Stock,0
ELECTRONICS,7500.29,3.7,4.78,Out of Stock,0
ELECTRONICS,12096.49,3.03,4.69,In Stock,1
FURNITURE,7928.19,1.73,14.65,Out of Stock,0
ELECTRONICS,534.2,4.87,9.1,In Stock,1
CLOTHING,2454.73,4.3,36.12,Out of Stock,0
CLOTHING,2914.1,3.18,10.88,In Stock,1
ELECTRONICS,553.78,4.46,17.25,In Stock,1
FURNITURE,8628.3,2.77,4.68,In Stock,1
FURNITURE,8129.6,2.75,11.18,Out of Stock,0
FURNITURE,5786.7,2.42,4.04,Out of Stock,0
FOOD,198.97,4.57,27.28,In Stock,1
ELECTRONICS,6851.16,4.01,17.94,Out of Stock,0
ELECTRONICS,7251.75,1.73,19.13,Out of Stock,0
FURNITURE,7520.12,2.75,0.94,Out of Stock,0
FOOD,414.63,3.22,7.46,Out of Stock,0
ELECTRONICS,6584.71,3.03,17.51,In Stock,1
ELECTRONICS,6512.33,4.43,17.14,Out of Stock,0
FOOD,623.49,3.29,20.71,In Stock,1
ELECTRONICS,9725.12,3.73,6.63,Out of Stock,0
ELECTRONICS,7502.9,3.58,10.21,In Stock,1
FOOD,139.96,3.62,24.07,In Stock,1
FOOD,696.06,3.27,28.57,In Stock,1
FOOD,296.62,4.32,22.55,In Stock,1
ELECTRONICS,9059.73,4.78,6.26,In Stock,1
FOOD,693.88,3.26,21.15,In Stock,1
ELECTRONICS,8709.89,3.71,5.05,Out of Stock,0
CLOTHING,2682.61,3.46,12.23,In Stock,1
FOOD,588.1,3.95,25.47,In Stock,1
FOOD,337.55,3.34,25.09,Out of Stock,0
FURNITURE,9586.92,1.66,10.81,Out of Stock,0
FOOD,433.34,4.21,13.83,In Stock,1
FOOD,671.53,4.66,21.28,In Stock,1
ELECTRONICS,5527.01,4.36,13.42,In Stock,1
CLOTHING,2242.56,3.09,44.57,In Stock,1
CLOTHING,2313.43,2.34,23.35,In Stock,1
ELECTRONICS,9431.9,1.19,19.23,Out of Stock,0
FURNITURE,11149.95,3.21,4.06,Out of Stock,0
CLOTHING,1121.98,4.83,18.42,In Stock,1
FURNITURE,12306.06,2.75,2.09,Out of Stock,0
FOOD,58.04,4.09,29.27,In Stock,1
FURNITURE,7429.63,2.25,5.16,Out of Stock,0
FOOD,440.41,3.88,12.23,In Stock,1
FOOD,429.14,4.02,4.15,In Stock,1
CLOTHING,2956.85,2.75,8.3,In Stock,1
ELECTRONICS,8315.73,3.38,8.3,Out of Stock,0
FOOD,366.64,4.57,5.87,In Stock,1
CLOTHING,2550.63,3.95,23.85,In Stock,1
ELECTRONICS,7290.14,2.03,15.04,Out of Stock,0
FOOD,419.74,3.64,17.88,In Stock,1
ELECTRONICS,9978.67,2.74,18.41,Out of Stock,0
FURNITURE,7140.2,1.19,3.06,Out of Stock,0
ELECTRONICS,8024.34,1.77,0.0,Out of Stock,0
FURNITURE,13980.02,3.95,11.13,Out of Stock,0
CLOTHING,919.54,2.36,8.04,In Stock,1
ELECTRONICS,8620.15,4.72,8.61,Out of Stock,0
FURNITURE,4429.69,2.79,5.23,Out of Stock,0
ELECTRONICS,1437.06,3.86,37.34,In Stock,1
FURNITURE,4327.24,1.12,14.91,Out of Stock,0
FURNITURE,5792.74,1.19,2.85,Out of Stock,0
FURNITURE,3467.49,2.37,12.04,In Stock,1
CLOTHING,1353.11,3.33,35.4,In Stock,1
CLOTHING,1772.24,4.58,43.97,In Stock,1
FURNITURE,3118.93,3.72,6.91,In Stock,1
CLOTHING,2972.1,3.45,49.41,In Stock,1
ELECTRONICS,8772.85,1.99,10.77,In Stock,1
FOOD,794.1,4.72,12.23,Out of Stock,0
FURNITURE,11476.46,2.21,0.1,Out of Stock,0
FOOD,352.61,3.96,24.57,In Stock,1
FOOD,303.0,4.66,0.02,In Stock,1
ELECTRONICS,6539.1,1.96,4.67,Out of Stock,0
FOOD,101.14,3.37,16.67,In Stock,1
FURNITURE,6496.33,2.46,5.65,Out of Stock,0
ELECTRONICS,9379.52,4.62,9.86,Out of Stock,0
FOOD,419.74,3.21,28.6,In Stock,1
FURNITURE,3722.72,2.04,4.47,Out of Stock,0
FOOD,290.3,3.33,23.49,In Stock,1
FOOD,141.87,4.27,12.23,Out of Stock,0
FOOD,102.9,3.96,5.7,In Stock,1
CLOTHING,2553.13,3.63,8.5,In Stock,1
CLOTHING,2888.62,2.74,43.68,In Stock,1
FURNITURE,5025.72,3.99,12.23,Out of Stock,0
FURNITURE,9141.37,3.69,14.02,Out of Stock,0
FURNITURE,13910.43,3.87,13.32,Out of Stock,0
FURNITURE,5390.64,1.99,4.33,Out of Stock,0
FOOD,332.79,3.79,16.34,In Stock,1
FOOD,419.74,4.38,5.03,In Stock,1
FURNITURE,6723.7,2.76,11.95,Out of Stock,0
FOOD,604.6,4.29,4.67,In Stock,1
FOOD,460.28,3.17,11.32,In Stock,1
FURNITURE,7962.2,1.14,4.11,Out of Stock,0
FURNITURE,14467.79,4.34,5.28,Out of Stock,0
CLOTHING,1787.38,2.54,22.65,In Stock,1
CLOTHING,2869.45,2.42,39.36,In Stock,1
ELECTRONICS,5543.41,4.93,7.63,In Stock,1
FOOD,631.43,3.69,18.83,In Stock,1
ELECTRONICS,5960.08,1.58,18.76,Out of Stock,0
CLOTHING,2794.12,4.66,33.14,Out of Stock,0
FOOD,656.2,3.14,10.04,In Stock,1
CLOTHING,1284.26,3.46,21.02,In Stock,1
ELECTRONICS,161.38,4.19,24.43,In Stock,1
ELECTRONICS,6910.62,1.53,3.93,Out of Stock,0
ELECTRONICS,6187.42,2.2,12.86,In Stock,1
FURNITURE,10211.35,3.44,5.44,Out of Stock,0
CLOTHING,2559.99,2.61,26.11,Out of Stock,0
ELECTRONICS,9004.69,1.72,2.2,Out of Stock,0
FOOD,712.76,3.69,20.52,In Stock,1
FURNITURE,3304.18,3.42,4.74,In Stock,1
ELECTRONICS,5278.7,3.44,4.82,Out of Stock,0
FOOD,340.11,3.16,4.41,In Stock,1
ELECTRONICS,6489.89,1.36,18.22,Out of Stock,0
ELECTRONICS,5030.24,2.94,2.46,Out of Stock,0
FOOD,280.76,4.85,4.85,In Stock,1
FOOD,774.37,3.41,22.25,In Stock,1
FOOD,460.01,4.77,16.62,In Stock,1
FOOD,450.92,3.39,4.99,In Stock,1
FURNITURE,13997.87,2.15,5.58,Out of Stock,0
FOOD,619.87,3.68,28.56,In Stock,1
CLOTHING,2344.82,3.79,44.64,In Stock,1
FURNITURE,3595.27,1.9,6.98,Out of Stock,0
CLOTHING,1067.45,4.23,46.36,In Stock,1
ELECTRONICS,1559.43,3.03,48.27,In Stock,1
ELECTRONICS,7224.26,3.03,7.03,Out of Stock,0
ELECTRONICS,9547.74,3.28,15.24,In Stock,1
FURNITURE,12741.68,2.2,6.51,Out of Stock,0
FURNITURE,13181.66,2.27,12.23,Out of Stock,0
FOOD,755.74,4.25,22.25,In Stock,1
CLOTHING,2512.74,4.54,22.78,In Stock,1
ELECTRONICS,5256.32,2.61,13.48,Out of Stock,0
ELECTRONICS,7251.75,4.0,7.14,In Stock,1
CLOTHING,2086.86,2.56,38.72,In Stock,1
FOOD,459.27,3.41,8.76,In Stock,1
FOOD,611.46,3.97,6.48,In Stock,1
FOOD,775.45,4.43,12.23,In Stock,1
CLOTHING,1567.76,3.46,45.41,In Stock,1
FURNITURE,9300.59,3.48,3.78,Out of Stock,0
FOOD,385.04,3.96,6.18,In Stock,1
FOOD,50.71,3.08,29.32,In Stock,1
FOOD,231.77,4.33,25.17,In Stock,1
CLOTHING,1876.65,2.46,37.77,In Stock,1
ELECTRONICS,8001.26,3.93,15.39,Out of Stock,0
CLOTHING,2938.53,3.72,20.37,In Stock,1
FURNITURE,10781.57,1.24,13.46,Out of Stock,0
ELECTRONICS,5596.91,2.31,16.31,Out of Stock,0
ELECTRONICS,7986.56,2.57,12.23,Out of Stock,0
ELECTRONICS,9272.74,2.36,17.39,Out of Stock,0
ELECTRONICS,5440.67,4.11,16.95,Out of Stock,0
FURNITURE,5181.81,2.51,2.48,Out of Stock,0
FOOD,579.95,4.07,19.06,In Stock,1
CLOTHING,991.22,2.64,6.87,In Stock,1
ELECTRONICS,6610.34,3.24,17.16,In Stock,1
CLOTHING,2167.32,3.31,47.89,In Stock,1
CLOTHING,2298.11,4.79,28.74,In Stock,1
ELECTRONICS,6294.52,1.21,14.52,Out of Stock,0
CLOTHING,803.26,2.91,28.96,In Stock,1
CLOTHING,1911.04,3.8,12.48,In Stock,1
FOOD,334.8,4.23,12.23,In Stock,1
FOOD,595.72,3.96,22.87,In Stock,1
ELECTRONICS,7958.58,1.77,13.33,In Stock,1
CLOTHING,2058.45,3.81,27.04,In Stock,1
FOOD,446.49,3.67,15.58,In Stock,1
FOOD,198.17,3.96,5.57,In Stock,1
FURNITURE,4019.6,2.53,9.87,Out of Stock,0
FOOD,419.74,3.55,16.75,In Stock,1
ELECTRONICS,6735.01,4.73,18.45,Out of Stock,0
ELECTRONICS,7511.86,2.31,14.74,Out of Stock,0
FOOD,419.74,3.95,10.09,Out of Stock,0
ELECTRONICS,9602.68,1.05,11.06,In Stock,1
FOOD,605.5,3.97,2.56,In Stock,1
FURNITURE,14669.54,2.81,9.21,Out of Stock,0
FOOD,227.46,3.97,12.87,In Stock,1
CLOTHING,687.24,2.32,42.69,In Stock,1
FOOD,229.86,3.39,15.15,In Stock,1
CLOTHING,2421.87,2.19,30.96,In Stock,1
FOOD,139.41,3.07,1.58,In Stock,1
FURNITURE,13009.97,1.41,0.68,In Stock,1
CLOTHING,1594.75,4.53,16.81,In Stock,1
ELECTRONICS,8060.55,1.14,6.74,Out of Stock,0
FURNITURE,9931.36,3.0,4.99,Out of Stock,0
ELECTRONICS,6577.67,1.43,7.34,Out of Stock,0
ELECTRONICS,5497.47,4.07,19.33,In Stock,1
ELECTRONICS,9850.37,4.46,12.02,Out of Stock,0
ELECTRONICS,8504.33,3.03,12.62,Out of Stock,0
ELECTRONICS,7278.25,2.93,15.16,Out of Stock,0
ELECTRONICS,261.44,3.64,27.74,In Stock,1
ELECTRONICS,5281.12,2.94,18.26,In Stock,1
CLOTHING,2025.91,3.64,16.24,In Stock,1
FURNITURE,7119.31,3.98,8.39,In Stock,1
ELECTRONICS,7573.71,1.4,0.32,Out of Stock,0
FURNITURE,14564.22,2.32,9.05,Out of Stock,0
CLOTHING,699.29,4.05,46.97,In Stock,1
ELECTRONICS,7878.33,1.5,11.63,In Stock,1
FOOD,624.76,3.81,26.4,In Stock,1
FOOD,536.51,4.8,18.71,In Stock,1
FURNITURE,4575.46,2.08,3.03,Out of Stock,0
ELECTRONICS,731.62,3.03,20.29,In Stock,1
FURNITURE,6611.6,1.64,11.35,Out of Stock,0
CLOTHING,1685.39,2.68,32.75,In Stock,1
ELECTRONICS,5201.67,2.3,9.37,Out of Stock,0
FURNITURE,4775.5,4.45,3.14,Out of Stock,0
FURNITURE,4564.24,1.71,11.54,In Stock,1
FURNITURE,8106.07,2.98,0.32,Out of Stock,0
CLOTHING,586.08,3.34,41.75,In Stock,1
CLOTHING,2713.1,2.26,29.23,In Stock,1
FURNITURE,13958.76,2.36,12.44,Out of Stock,0
CLOTHING,834.24,4.81,38.81,In Stock,1
FURNITURE,14296.01,2.75,5.45,Out of Stock,0
FURNITURE,14258.17,1.96,4.98,Out of Stock,0
CLOTHING,2252.02,4.3,46.82,Out of Stock,0
FURNITURE,5457.63,3.79,11.08,In Stock,1
FURNITURE,3765.53,2.36,4.24,Out of Stock,0
ELECTRONICS,6522.45,4.93,12.86,In Stock,1
FURNITURE,11612.11,4.42,5.66,Out of Stock,0
FOOD,651.38,3.87,26.09,In Stock,1
FURNITURE,5167.89,4.32,3.28,Out of Stock,0
CLOTHING,1315.55,4.27,22.72,In Stock,1
FURNITURE,10298.54,2.56,11.14,Out of Stock,0
CLOTHING,1070.83,2.18,18.5,In Stock,1
ELECTRONICS,7371.54,3.03,7.1,Out of Stock,0
FURNITURE,7799.8,1.2,8.75,Out of Stock,0
ELECTRONICS,9421.72,1.61,11.96,Out of Stock,0
CLOTHING,2161.85,3.26,36.55,In Stock,1
FURNITURE,7928.78,2.77,12.23,Out of Stock,0
FURNITURE,11300.64,3.31,0.58,Out of Stock,0
FOOD,326.19,4.96,12.62,In Stock,1
FOOD,426.46,4.82,21.52,In Stock,1
CLOTHING,1955.18,4.39,43.9,In Stock,1
CLOTHING,1642.22,3.43,22.37,Out of Stock,0
CLOTHING,1787.38,4.09,8.75,In Stock,1
FOOD,697.22,3.96,2.06,In Stock,1
FURNITURE,9596.61,2.46,13.17,Out of Stock,0
FURNITURE,5447.94,3.89,8.37,Out of Stock,0
FURNITURE,3655.32,4.4,7.69,In Stock,1
ELECTRONICS,6454.38,2.88,17.16,In Stock,1
CLOTHING,1262.26,2.58,10.81,In Stock,1
ELECTRONICS,6489.3,4.12,9.43,In Stock,1
FOOD,220.61,3.33,9.98,In Stock,1
CLOTHING,2849.81,3.03,49.47,In Stock,1
FURNITURE,8822.77,1.63,12.23,Out of Stock,0
CLOTHING,1650.89,4.13,49.27,In Stock,1
ELECTRONICS,5250.88,1.39,14.41,Out of Stock,0
ELECTRONICS,6409.13,1.74,0.79,Out of Stock,0
FURNITURE,3262.16,3.71,2.02,Out of Stock,0
FOOD,400.79,4.21,12.85,In Stock,1
ELECTRONICS,5135.53,4.13,0.21,In Stock,1
ELECTRONICS,8809.45,4.57,8.66,In Stock,1
FOOD,451.66,3.95,11.68,In Stock,1
ELECTRONICS,9437.12,4.58,6.72,Out of Stock,0
FURNITURE,10380.84,4.24,14.43,Out of Stock,0
FOOD,431.72,3.91,8.36,In Stock,1
ELECTRONICS,9794.36,1.57,11.6,Out of Stock,0
ELECTRONICS,7251.75,2.12,8.1,Out of Stock,0
ELECTRONICS,14985.52,1.19,8.68,Out of Stock,0
CLOTHING,706.43,3.46,24.78,In Stock,1
CLOTHING,1776.15,2.78,19.24,In Stock,1
FURNITURE,4043.6,2.06,14.5,In Stock,1
FURNITURE,14336.49,2.17,8.56,Out of Stock,0
FURNITURE,13915.14,2.75,12.16,Out of Stock,0
FURNITURE,14380.43,1.32,2.42,Out of Stock,0
CLOTHING,2901.87,3.61,5.64,Out of Stock,0
ELECTRONICS,7251.75,2.8,13.86,Out of Stock,0
FURNITURE,8628.3,4.48,4.31,Out of Stock,0
FOOD,453.67,4.07,12.17,In Stock,1
CLOTHING,922.9,4.93,43.4,In Stock,1
FURNITURE,8980.0,2.75,12.23,Out of Stock,0
ELECTRONICS,7718.94,3.78,10.3,In Stock,1
CLOTHING,2975.71,3.83,21.69,Out of Stock,0
ELECTRONICS,7251.75,1.68,7.69,Out of Stock,0
CLOTHING,1367.4,3.3,40.18,In Stock,1
ELECTRONICS,7420.87,4.18,11.53,In Stock,1
ELECTRONICS,6710.35,4.24,4.77,Out of Stock,0
ELECTRONICS,6121.91,3.02,5.22,In Stock,1
FOOD,56.82,4.3,15.33,In Stock,1
FOOD,384.14,4.93,17.14,In Stock,1
FOOD,697.57,3.96,17.08,In Stock,1
FURNITURE,13415.76,3.04,10.77,Out of Stock,0
CLOTHING,1430.11,2.28,25.61,In Stock,1
CLOTHING,1486.2,4.6,15.98,In Stock,1
FURNITURE,14600.81,4.35,3.71,In Stock,1
ELECTRONICS,6740.26,4.58,19.33,In Stock,1
ELECTRONICS,8321.27,3.03,7.89,Out of Stock,0
ELECTRONICS,8438.85,3.03,14.73,Out of Stock,0
FURNITURE,3619.89,2.75,5.79,Out of Stock,0
ELECTRONICS,6767.37,2.26,9.82,Out of Stock,0
FURNITURE,6848.8,1.67,4.64,Out of Stock,0
FOOD,781.18,3.82,13.34,In Stock,1
FURNITURE,9918.54,4.44,3.62,In Stock,1
ELECTRONICS,8406.41,3.86,12.15,In Stock,1
FOOD,116.43,4.35,1.92,In Stock,1
FURNITURE,10153.71,3.59,3.16,Out of Stock,0
FOOD,681.22,3.06,25.31,In Stock,1
FOOD,395.25,3.44,4.01,In Stock,1
FOOD,764.98,3.15,5.97,In Stock,1
CLOTHING,1369.56,3.86,29.52,In Stock,1
FOOD,144.23,3.58,7.16,In Stock,1
FOOD,210.16,3.82,21.12,In Stock,1
FURNITURE,5609.44,2.28,5.86,Out of Stock,0
ELECTRONICS,9882.28,4.82,16.0,Out of Stock,0
CLOTHING,1104.15,2.2,19.26,In Stock,1
FURNITURE,6201.53,2.77,11.67,Out of Stock,0
ELECTRONICS,13299.88,3.96,5.4,Out of Stock,0
CLOTHING,2218.09,2.94,7.74,In Stock,1
FOOD,576.17,3.02,12.28,In Stock,1
CLOTHING,1323.45,4.08,39.48,In Stock,1
ELECTRONICS,6520.47,4.25,5.88,In Stock,1
CLOTHING,1615.82,4.18,36.18,In Stock,1
CLOTHING,2968.42,2.68,34.8,In Stock,1
FOOD,507.26,4.83,4.69,In Stock,1
ELECTRONICS,8758.99,3.27,5.49,In Stock,1
FURNITURE,8693.22,2.17,8.69,Out of Stock,0
FURNITURE,13668.01,2.99,9.48,Out of Stock,0
FOOD,439.06,3.1,6.99,In Stock,1
FOOD,419.0,3.62,5.45,In Stock,1
CLOTHING,1760.33,2.97,16.61,In Stock,1
FURNITURE,8567.83,1.47,13.92,Out of Stock,0
