Category,Price,Rating,Discount,Stock
Food,67.96,4.17,28.24,In Stock
,180.81,3.94,2.74,In Stock
Electronics,8128.41,3.2,8.15,Out of Stock
Food,441.03,4.79,5.89,In Stock
Electronics,5112.82,4.45,11.54,Out of Stock
Food,717.99,4.19,24.3,Out of Stock
Electronics,7148.37,4.0,18.26,In Stock
Food,479.09,3.36,8.06,In Stock
Clothing,996.61,2.74,18.79,In Stock
Furniture,9661.61,3.06,6.4,Out of Stock
Electronics,8077.1,1.33,1.76,Out of Stock
,929.57,3.55,14.63,In Stock
Electronics,6416.42,2.6,16.24,Out of Stock
Furniture,3166.35,3.27,10.03,In Stock
,12583.87,,0.3,Out of Stock
Clothing,884.46,4.66,25.63,In Stock
Food,473.44,4.33,20.37,In Stock
Furniture,14180.88,4.49,10.8,Out of Stock
Food,265.42,4.76,1.48,In Stock
Food,223.31,4.79,7.69,In Stock
,6103.26,1.55,17.18,Out of Stock
Electronics,7500.29,3.7,4.78,Out of Stock
,12096.49,,4.69,In Stock
Furniture,7928.19,1.73,14.65,Out of Stock
,534.2,4.87,9.1,In Stock
Clothing,2454.73,4.3,36.12,Out of Stock
Clothing,2914.1,3.18,10.88,In Stock
,553.78,4.46,17.25,In Stock
Furniture,,2.77,4.68,In Stock
Furniture,8129.6,,11.18,Out of Stock
Furniture,5786.7,2.42,4.04,Out of Stock
Food,198.97,4.57,27.28,In Stock
Electronics,6851.16,4.01,17.94,Out of Stock
Electronics,,1.73,19.13,Out of Stock
Furniture,7520.12,,0.94,Out of Stock
Food,414.63,3.22,7.46,Out of Stock
Electronics,6584.71,,17.51,In Stock
Electronics,6512.33,4.43,17.14,Out of Stock
Food,623.49,3.29,20.71,In Stock
Electronics,9725.12,3.73,6.63,Out of Stock
Electronics,7502.9,3.58,10.21,In Stock
Food,139.96,3.62,24.07,In Stock
Food,696.06,3.27,28.57,In Stock
Food,296.62,4.32,22.55,In Stock
Electronics,9059.73,4.78,6.26,In Stock
Food,693.88,3.26,21.15,In Stock
Electronics,8709.89,3.71,5.05,Out of Stock
Clothing,2682.61,,,In Stock
Food,588.1,3.95,25.47,In Stock
Food,337.55,3.34,25.09,Out of Stock
Furniture,9586.92,1.66,10.81,Out of Stock
Food,433.34,4.21,13.83,In Stock
Food,671.53,4.66,21.28,In Stock
Electronics,5527.01,4.36,13.42,In Stock
Clothing,2242.56,3.09,44.57,In Stock
Clothing,2313.43,2.34,23.35,In Stock
Electronics,9431.9,1.19,19.23,Out of Stock
Furniture,11149.95,3.21,4.06,Out of Stock
Clothing,1121.98,4.83,18.42,In Stock
Furniture,12306.06,,2.09,Out of Stock
Food,58.04,4.09,29.27,In Stock
Furniture,7429.63,2.25,5.16,Out of Stock
Food,440.41,3.88,,In Stock
Food,429.14,4.02,4.15,In Stock
Clothing,2956.85,2.75,8.3,In Stock
Electronics,8315.73,3.38,8.3,Out of Stock
Food,366.64,4.57,5.87,In Stock
Clothing,2550.63,3.95,23.85,In Stock
Electronics,7290.14,2.03,15.04,Out of Stock
Food,,3.64,17.88,In Stock
Electronics,9978.67,2.74,18.41,Out of Stock
Furniture,7140.2,1.19,3.06,Out of Stock
,8024.34,1.77,0.0,Out of Stock
Furniture,13980.02,3.95,11.13,Out of Stock
Clothing,919.54,2.36,8.04,In Stock
Electronics,8620.15,4.72,8.61,Out of Stock
Furniture,4429.69,2.79,5.23,Out of Stock
,1437.06,3.86,37.34,In Stock
Furniture,4327.24,1.12,14.91,Out of Stock
Furniture,5792.74,1.19,2.85,Out of Stock
Furniture,3467.49,2.37,12.04,In Stock
Clothing,1353.11,3.33,35.4,In Stock
Clothing,1772.24,4.58,43.97,In Stock
Furniture,3118.93,3.72,6.91,In Stock
Clothing,2972.1,3.45,49.41,In Stock
Electronics,8772.85,1.99,10.77,In Stock
Food,794.1,4.72,,Out of Stock
Furniture,11476.46,2.21,0.1,Out of Stock
Food,352.61,,24.57,In Stock
Food,303.0,4.66,0.02,In Stock
,6539.1,1.96,4.67,Out of Stock
Food,101.14,3.37,16.67,In Stock
Furniture,6496.33,2.46,5.65,Out of Stock
Electronics,9379.52,4.62,9.86,Out of Stock
Food,,3.21,28.6,In Stock
Furniture,3722.72,2.04,4.47,Out of Stock
Food,290.3,3.33,23.49,In Stock
Food,141.87,4.27,,Out of Stock
Food,102.9,,5.7,In Stock
Clothing,2553.13,3.63,8.5,In Stock
Clothing,2888.62,2.74,43.68,In Stock
Furniture,5025.72,3.99,,Out of Stock
Furniture,9141.37,3.69,14.02,Out of Stock
Furniture,13910.43,3.87,13.32,Out of Stock
Furniture,5390.64,1.99,4.33,Out of Stock
Food,332.79,3.79,16.34,In Stock
Food,,4.38,5.03,In Stock
Furniture,6723.7,2.76,11.95,Out of Stock
Food,604.6,4.29,4.67,In Stock
Food,460.28,3.17,11.32,In Stock
Furniture,7962.2,1.14,4.11,Out of Stock
Furniture,14467.79,4.34,5.28,Out of Stock
Clothing,,2.54,22.65,In Stock
Clothing,2869.45,2.42,39.36,In Stock
Electronics,5543.41,4.93,7.63,In Stock
Food,631.43,3.69,18.83,In Stock
Electronics,5960.08,1.58,18.76,Out of Stock
Clothing,2794.12,4.66,33.14,Out of Stock
Food,656.2,3.14,10.04,In Stock
Clothing,1284.26,,21.02,In Stock
,161.38,4.19,24.43,In Stock
Electronics,6910.62,1.53,3.93,Out of Stock
Electronics,6187.42,2.2,12.86,In Stock
Furniture,10211.35,3.44,5.44,Out of Stock
Clothing,2559.99,2.61,26.11,Out of Stock
Electronics,9004.69,1.72,2.2,Out of Stock
Food,712.76,3.69,20.52,In Stock
Furniture,3304.18,3.42,4.74,In Stock
Electronics,5278.7,3.44,4.82,Out of Stock
Food,340.11,3.16,4.41,In Stock
Electronics,6489.89,1.36,18.22,Out of Stock
Electronics,5030.24,2.94,2.46,Out of Stock
Food,280.76,4.85,4.85,In Stock
Food,774.37,3.41,22.25,In Stock
Food,460.01,4.77,16.62,In Stock
Food,450.92,3.39,4.99,In Stock
Furniture,13997.87,2.15,5.58,Out of Stock
Food,619.87,3.68,28.56,In Stock
Clothing,2344.82,3.79,44.64,In Stock
Furniture,3595.27,1.9,6.98,Out of Stock
Clothing,1067.45,4.23,46.36,In Stock
,1559.43,3.03,48.27,In Stock
Electronics,7224.26,,7.03,Out of Stock
Electronics,9547.74,3.28,15.24,In Stock
Furniture,12741.68,2.2,6.51,Out of Stock
Furniture,13181.66,2.27,,Out of Stock
Food,755.74,4.25,22.25,In Stock
Clothing,2512.74,4.54,22.78,In Stock
Electronics,5256.32,2.61,13.48,Out of Stock
Electronics,7251.75,4.0,7.14,In Stock
Clothing,2086.86,2.56,38.72,In Stock
Food,459.27,3.41,8.76,In Stock
Food,611.46,3.97,6.48,In Stock
Food,775.45,4.43,,In Stock
Clothing,1567.76,,45.41,In Stock
Furniture,9300.59,3.48,3.78,Out of Stock
Food,385.04,,6.18,In Stock
Food,50.71,3.08,29.32,In Stock
Food,231.77,4.33,25.17,In Stock
Clothing,1876.65,2.46,37.77,In Stock
Electronics,8001.26,3.93,15.39,Out of Stock
Clothing,2938.53,3.72,20.37,In Stock
Furniture,10781.57,1.24,13.46,Out of Stock
Electronics,5596.91,2.31,16.31,Out of Stock
Electronics,7986.56,2.57,,Out of Stock
Electronics,9272.74,2.36,17.39,Out of Stock
Electronics,5440.67,4.11,16.95,Out of Stock
Furniture,5181.81,2.51,2.48,Out of Stock
Food,579.95,4.07,19.06,In Stock
Clothing,991.22,2.64,6.87,In Stock
Electronics,6610.34,3.24,17.16,In Stock
Clothing,2167.32,3.31,47.89,In Stock
Clothing,2298.11,4.79,28.74,In Stock
Electronics,6294.52,1.21,14.52,Out of Stock
Clothing,803.26,2.91,28.96,In Stock
Clothing,1911.04,3.8,12.48,In Stock
Food,334.8,4.23,,In Stock
Food,595.72,,22.87,In Stock
Electronics,7958.58,1.77,13.33,In Stock
Clothing,2058.45,3.81,27.04,In Stock
Food,446.49,3.67,15.58,In Stock
Food,198.17,,5.57,In Stock
Furniture,4019.6,2.53,9.87,Out of Stock
Food,,3.55,16.75,In Stock
Electronics,6735.01,4.73,18.45,Out of Stock
Electronics,7511.86,2.31,14.74,Out of Stock
Food,,3.95,10.09,Out of Stock
Electronics,9602.68,1.05,11.06,In Stock
Food,605.5,3.97,2.56,In Stock
Furniture,14669.54,2.81,9.21,Out of Stock
Food,227.46,3.97,12.87,In Stock
Clothing,687.24,2.32,42.69,In Stock
Food,229.86,3.39,15.15,In Stock
Clothing,2421.87,2.19,30.96,In Stock
Food,139.41,3.07,1.58,In Stock
Furniture,13009.97,1.41,0.68,In Stock
Clothing,1594.75,4.53,16.81,In Stock
,8060.55,1.14,6.74,Out of Stock
Furniture,9931.36,3.0,4.99,Out of Stock
Electronics,6577.67,1.43,7.34,Out of Stock
Electronics,5497.47,4.07,19.33,In Stock
Electronics,9850.37,4.46,12.02,Out of Stock
Electronics,8504.33,,12.62,Out of Stock
Electronics,7278.25,2.93,15.16,Out of Stock
,261.44,3.64,27.74,In Stock
Electronics,5281.12,2.94,18.26,In Stock
Clothing,2025.91,3.64,16.24,In Stock
Furniture,7119.31,3.98,8.39,In Stock
Electronics,7573.71,1.4,0.32,Out of Stock
Furniture,14564.22,2.32,9.05,Out of Stock
Clothing,699.29,4.05,46.97,In Stock
Electronics,7878.33,1.5,11.63,In Stock
Food,624.76,3.81,26.4,In Stock
Food,536.51,4.8,18.71,In Stock
Furniture,4575.46,2.08,3.03,Out of Stock
,731.62,,20.29,In Stock
Furniture,6611.6,1.64,11.35,Out of Stock
Clothing,1685.39,2.68,32.75,In Stock
Electronics,5201.67,2.3,9.37,Out of Stock
Furniture,4775.5,4.45,3.14,Out of Stock
Furniture,4564.24,1.71,11.54,In Stock
Furniture,8106.07,2.98,0.32,Out of Stock
Clothing,586.08,3.34,41.75,In Stock
Clothing,2713.1,2.26,29.23,In Stock
Furniture,13958.76,2.36,12.44,Out of Stock
Clothing,834.24,4.81,38.81,In Stock
Furniture,14296.01,,5.45,Out of Stock
Furniture,14258.17,1.96,4.98,Out of Stock
Clothing,2252.02,4.3,46.82,Out of Stock
Furniture,5457.63,3.79,11.08,In Stock
Furniture,3765.53,2.36,4.24,Out of Stock
Electronics,6522.45,4.93,12.86,In Stock
Furniture,11612.11,4.42,5.66,Out of Stock
Food,651.38,3.87,26.09,In Stock
Furniture,5167.89,4.32,3.28,Out of Stock
Clothing,1315.55,4.27,22.72,In Stock
Furniture,10298.54,2.56,11.14,Out of Stock
Clothing,1070.83,2.18,18.5,In Stock
Electronics,7371.54,,7.1,Out of Stock
Furniture,7799.8,1.2,8.75,Out of Stock
Electronics,9421.72,1.61,11.96,Out of Stock
Clothing,2161.85,3.26,36.55,In Stock
Furniture,7928.78,2.77,,Out of Stock
Furniture,11300.64,3.31,0.58,Out of Stock
Food,326.19,4.96,12.62,In Stock
Food,426.46,4.82,21.52,In Stock
Clothing,1955.18,4.39,43.9,In Stock
Clothing,1642.22,3.43,22.37,Out of Stock
Clothing,,4.09,8.75,In Stock
Food,697.22,3.96,2.06,In Stock
Furniture,9596.61,2.46,13.17,Out of Stock
Furniture,5447.94,3.89,8.37,Out of Stock
Furniture,3655.32,4.4,7.69,In Stock
Electronics,6454.38,2.88,17.16,In Stock
Clothing,1262.26,2.58,10.81,In Stock
Electronics,6489.3,4.12,9.43,In Stock
Food,220.61,3.33,9.98,In Stock
Clothing,2849.81,3.03,49.47,In Stock
Furniture,8822.77,1.63,,Out of Stock
Clothing,1650.89,4.13,49.27,In Stock
Electronics,5250.88,1.39,14.41,Out of Stock
Electronics,6409.13,1.74,0.79,Out of Stock
Furniture,3262.16,3.71,2.02,Out of Stock
Food,400.79,4.21,12.85,In Stock
Electronics,5135.53,4.13,0.21,In Stock
Electronics,8809.45,4.57,8.66,In Stock
Food,451.66,3.95,11.68,In Stock
Electronics,9437.12,4.58,6.72,Out of Stock
Furniture,10380.84,4.24,14.43,Out of Stock
Food,431.72,3.91,8.36,In Stock
Electronics,9794.36,1.57,11.6,Out of Stock
Electronics,,2.12,8.1,Out of Stock
,14985.52,1.19,8.68,Out of Stock
Clothing,706.43,,24.78,In Stock
Clothing,1776.15,2.78,19.24,In Stock
Furniture,4043.6,2.06,14.5,In Stock
Furniture,14336.49,2.17,8.56,Out of Stock
Furniture,13915.14,,12.16,Out of Stock
Furniture,14380.43,1.32,2.42,Out of Stock
Clothing,2901.87,3.61,5.64,Out of Stock
Electronics,,2.8,13.86,Out of Stock
Furniture,,4.48,4.31,Out of Stock
Food,453.67,4.07,12.17,In Stock
Clothing,922.9,4.93,43.4,In Stock
Furniture,8980.0,,,Out of Stock
Electronics,7718.94,3.78,10.3,In Stock
Clothing,2975.71,3.83,21.69,Out of Stock
Electronics,,1.68,7.69,Out of Stock
Clothing,1367.4,3.3,40.18,In Stock
Electronics,7420.87,4.18,11.53,In Stock
Electronics,6710.35,4.24,4.77,Out of Stock
Electronics,6121.91,3.02,5.22,In Stock
Food,56.82,4.3,15.33,In Stock
Food,384.14,4.93,17.14,In Stock
Food,697.57,,17.08,In Stock
Furniture,13415.76,3.04,10.77,Out of Stock
Clothing,1430.11,2.28,25.61,In Stock
Clothing,1486.2,4.6,15.98,In Stock
Furniture,14600.81,4.35,3.71,In Stock
Electronics,6740.26,4.58,19.33,In Stock
,8321.27,,7.89,Out of Stock
Electronics,8438.85,,14.73,Out of Stock
Furniture,3619.89,,5.79,Out of Stock
Electronics,6767.37,2.26,9.82,Out of Stock
Furniture,6848.8,1.67,4.64,Out of Stock
Food,781.18,3.82,13.34,In Stock
Furniture,9918.54,4.44,3.62,In Stock
Electronics,8406.41,3.86,12.15,In Stock
Food,116.43,4.35,1.92,In Stock
Furniture,10153.71,3.59,3.16,Out of Stock
Food,681.22,3.06,25.31,In Stock
Food,395.25,3.44,4.01,In Stock
Food,764.98,3.15,5.97,In Stock
Clothing,1369.56,3.86,29.52,In Stock
Food,144.23,3.58,7.16,In Stock
Food,210.16,3.82,21.12,In Stock
Furniture,5609.44,2.28,5.86,Out of Stock
Electronics,9882.28,4.82,16.0,Out of Stock
Clothing,1104.15,2.2,19.26,In Stock
Furniture,6201.53,2.77,11.67,Out of Stock
,13299.88,3.96,5.4,Out of Stock
Clothing,2218.09,2.94,7.74,In Stock
Food,576.17,3.02,12.28,In Stock
Clothing,1323.45,4.08,39.48,In Stock
Electronics,6520.47,4.25,5.88,In Stock
Clothing,1615.82,4.18,36.18,In Stock
Clothing,2968.42,2.68,34.8,In Stock
Food,507.26,4.83,4.69,In Stock
Electronics,8758.99,3.27,5.49,In Stock
Furniture,8693.22,2.17,8.69,Out of Stock
Furniture,13668.01,2.99,9.48,Out of Stock
Food,439.06,3.1,6.99,In Stock
Food,419.0,3.62,5.45,In Stock
Clothing,1760.33,2.97,16.61,In Stock
Furniture,8567.83,1.47,13.92,Out of Stock
Food,700.78,,3.19,In Stock
Electronics,8879.39,4.23,15.36,In Stock
Furniture,4367.59,3.25,12.51,Out of Stock
Furniture,9928.24,3.26,6.88,Out of Stock
Furniture,9344.49,1.12,9.58,Out of Stock
Food,111.09,3.87,8.78,In Stock
Food,459.07,3.27,20.75,In Stock
Clothing,2487.53,,9.69,In Stock
Furniture,4746.19,4.07,7.92,Out of Stock
Furniture,8607.13,1.37,9.74,Out of Stock
Electronics,9340.0,4.31,12.52,Out of Stock
,5376.39,1.45,0.99,Out of Stock
Clothing,1143.7,2.41,16.7,In Stock
Furniture,7620.7,4.3,9.16,Out of Stock
Furniture,13019.69,3.49,1.69,Out of Stock
Electronics,8679.6,2.1,12.78,In Stock
Food,305.72,5.0,7.91,In Stock
Clothing,1197.83,4.79,6.11,In Stock
Furniture,11360.27,3.54,12.55,Out of Stock
Furniture,14693.27,4.41,0.98,Out of Stock
Furniture,12862.07,3.26,9.71,Out of Stock
Clothing,820.87,3.95,49.21,In Stock
Clothing,2779.55,3.32,6.8,In Stock
Clothing,1405.73,4.48,36.57,In Stock
Electronics,7296.72,1.22,8.54,In Stock
Furniture,8628.3,4.25,9.62,Out of Stock
Furniture,6739.83,2.84,0.99,Out of Stock
Furniture,14670.82,2.26,7.17,Out of Stock
Furniture,7263.41,3.39,9.93,Out of Stock
Food,586.49,3.54,9.47,In Stock
Furniture,4503.01,,0.6,Out of Stock
Furniture,10172.19,4.04,13.36,Out of Stock
Furniture,8388.45,2.61,1.15,Out of Stock
Electronics,8353.83,4.29,4.89,Out of Stock
Clothing,1553.25,4.52,44.47,In Stock
Electronics,6215.9,3.2,3.85,Out of Stock
Furniture,4222.55,4.19,12.31,In Stock
Food,620.03,3.1,25.31,In Stock
Electronics,7190.22,2.37,10.93,Out of Stock
Food,118.51,4.51,17.47,In Stock
Food,189.94,3.38,5.53,In Stock
,642.51,3.76,42.82,In Stock
Electronics,5087.49,1.2,11.46,Out of Stock
Food,,3.65,10.49,In Stock
Food,497.26,3.55,0.8,In Stock
Furniture,11822.74,3.19,8.71,In Stock
Food,606.26,4.35,6.18,In Stock
Furniture,7229.77,1.44,1.95,Out of Stock
Food,557.15,,28.88,In Stock
Food,521.26,,3.17,Out of Stock
Furniture,12754.21,3.03,9.27,Out of Stock
Clothing,2453.66,4.11,42.55,In Stock
Electronics,,3.99,17.02,Out of Stock
Electronics,6430.68,3.56,6.28,Out of Stock
Furniture,14495.65,1.12,8.7,Out of Stock
Food,174.88,4.42,5.28,In Stock
Food,226.54,3.99,27.45,In Stock
Electronics,6058.57,1.58,15.18,Out of Stock
Electronics,7503.1,4.65,2.93,Out of Stock
Electronics,8229.64,1.93,3.14,Out of Stock
,2208.57,3.78,38.97,In Stock
Food,282.1,3.9,12.16,In Stock
,2960.22,2.88,18.27,In Stock
Clothing,1386.37,3.69,16.35,In Stock
Furniture,13983.48,1.93,13.44,Out of Stock
Clothing,758.69,3.97,45.81,In Stock
Food,176.56,4.94,13.59,In Stock
Furniture,14348.58,3.37,4.52,Out of Stock
Clothing,970.76,2.91,9.19,Out of Stock
Food,157.9,3.21,12.69,In Stock
Furniture,12546.94,1.49,1.95,Out of Stock
Furniture,10721.15,1.69,1.46,Out of Stock
Electronics,5834.24,4.69,16.43,In Stock
Furniture,7248.77,3.3,8.06,Out of Stock
Clothing,2192.81,4.05,33.29,In Stock
Clothing,1165.25,2.12,25.5,In Stock
Clothing,2727.43,3.71,42.46,In Stock
Furniture,14899.49,1.57,10.38,Out of Stock
,2185.73,4.94,49.35,In Stock
Clothing,2216.7,2.73,40.94,In Stock
Food,130.27,4.56,27.31,In Stock
Electronics,6914.17,3.52,8.6,Out of Stock
Electronics,7188.83,2.24,15.24,In Stock
Electronics,9680.88,4.76,3.5,In Stock
Electronics,9373.72,3.95,5.06,In Stock
Electronics,5336.42,2.07,18.24,In Stock
Electronics,8165.89,3.88,5.14,Out of Stock
Food,589.54,3.06,11.26,In Stock
Electronics,8133.77,1.58,16.46,Out of Stock
Clothing,1087.58,3.96,23.23,In Stock
Furniture,10152.52,1.38,0.25,Out of Stock
Clothing,2773.91,2.81,41.89,In Stock
Food,799.51,3.42,7.96,In Stock
Electronics,8314.3,4.86,18.32,Out of Stock
Electronics,7514.38,4.18,2.71,Out of Stock
Electronics,9887.19,4.86,3.27,Out of Stock
Electronics,6497.12,1.4,5.43,Out of Stock
Clothing,2539.89,3.13,8.98,In Stock
Electronics,6711.13,4.93,12.59,Out of Stock
Electronics,7080.8,1.67,19.72,Out of Stock
Electronics,,2.13,1.4,Out of Stock
Clothing,641.56,2.36,31.13,In Stock
Electronics,9643.82,2.99,16.86,Out of Stock
Clothing,1614.72,,37.93,Out of Stock
Food,180.47,3.72,19.12,In Stock
,103.02,3.72,16.04,In Stock
Electronics,9981.12,2.9,16.32,Out of Stock
,8184.81,3.79,8.93,Out of Stock
Food,714.95,,18.13,In Stock
Electronics,8150.09,2.67,2.89,In Stock
Furniture,4122.71,1.06,13.1,Out of Stock
Furniture,5837.7,1.74,11.04,Out of Stock
Electronics,6600.08,3.02,3.25,In Stock
Clothing,2899.36,4.55,43.87,In Stock
Furniture,7881.28,3.67,2.16,In Stock
Food,56.46,3.04,17.6,In Stock
Electronics,7276.97,3.07,0.15,Out of Stock
